text,speaker,label
Says the Annies List political group supports third-trimester abortions on demand.,dwayne-bohac,false
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,scott-surovell,half-true
The economic turnaround started at the end of my term.,charlie-crist,half-true
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,robin-vos,true
Jim Dunnam has not lived in the district he represents for years now.,republican-party-texas,barely-true
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,duey-stroebel,mostly-true
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",mitt-romney,false
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",national-republican-congressional-committee,barely-true
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",gwen-moore,half-true
"Almost 100,000 people left Puerto Rico last year.",jack-lew,mostly-true
The United States has the highest corporate tax rate in the free world.,eric-bolling,mostly-true
We just had the best year for the auto industry in America in history.,hillary-clinton,mostly-true
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",greater-wisconsin-political-fund,half-true
Says Mitt Romney wants to get rid of Planned Parenthood.,planned-parenthood-action-fund,barely-true
I dont know who (Jonathan Gruber) is.,nancy-pelosi,false
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,hillary-clinton,mostly-true
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,ted-nugent,half-true
Youth unemployment in minority communities is about 40 to 45 percent.,peter-kinder,mostly-true
Says Paul Ryan is still endorsing Trump.,hillary-clinton,true
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,shelley-moore-capito,false
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,rick-scott,mostly-true
Says Mark Pryor votes with Obama 93 percent of the time.,tom-cotton,mostly-true
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,lee-leffingwell,true
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",kelly-ayotte,true
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,keep-promise-1-pac,half-true
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,rachel-maddow,pants-fire
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,bernie-s,half-true
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",chain-email,pants-fire
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,john-boehner,false
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,katrina-pierson,pants-fire
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,blog-posting,true
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,rick-perry,barely-true
"Maggie Hassan raised tuition, making it the highest in America.",national-republican-senatorial-committee,barely-true
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,ken-cuccinelli,false
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",andrew-cuomo,true
"In Georgia, women earn 82 cents for every dollar earned by men.",jim-barksdale,half-true
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,david-raynor,half-true
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",donald-trump,barely-true
Sen. Obama's campaign announced that he's choosing his cabinet.,john-mccain,false
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",battleground-texas,mostly-true
